Name,ranking
Paris Lodron Universität Salzburg,781
Wenzhou University,782
University of the Western Cape,783
University of the West of Scotland,784
University of Windsor,785
University of Wolverhampton,786
University of Wuppertal,787
Xi’an Jiaotong-Liverpool University,788
Yokohama City University,789
Zhengzhou University,790
University of the Aegean,791
"University of Agriculture, Faisalabad",792
The University of Aizu,793
The University of Alabama,794
Al-Azhar University,795
Al-Balqa Applied University,796
University of Alcalá,797
Alexandria University,798
Aligarh Muslim University,799
American University in Cairo,800
Anna University,801
University of Applied Sciences and Arts of Western Switzerland,802
Aristotle University of Thessaloniki,803
Athens University of Economics and Business,804
Universidad Autónoma de Chile,805
University of Aveiro,806
University of the Balearic Islands,807
University of the Basque Country,808
University of Bedfordshire,809
University of Beira Interior,810
University of Belgrade,811
Beni-Suef University,812
University of Bergamo,813
Bharathiar University,814
Bilkent University,815
"Birla Institute of Technology and Science, Pilani",816
Boğaziçi University,817
University of Brighton,818
Cairo University,819
University of Calabria,820
Chapman University,821
Institute of Chemical Technology,822
Chengdu University,823
"China University of Petroleum, Beijing",824
Chulalongkorn University,825
Clemson University,826
University of Clermont Auvergne,827
Coventry University,828
CY Cergy Paris University,829
University of Dayton,830
University of Deusto,831
Diego Portales University,832
Donghua University,833
Duzce University,834
Edge Hill University,835
"University of Engineering and Technology, Peshawar",836
Ewha Womans University,837
Federal University of Minas Gerais,838
Universidade Federal de Sergipe,839
Firat University,840
Florida Agricultural and Mechanical University,841
Florida Atlantic University,842
University of Foggia,843
University of the Free State,844
Fujita Health University,845
Fuzhou University,846
University of Girona,847
Guangdong University of Technology,848
Hiroshima University,849
Indian Institute of Technology Patna,850
Indian Institute of Technology Gandhinagar,851
Universitat Internacional de Catalunya,852
University of Ioannina,853
ISCTE-University Institute of Lisbon,854
The Islamia University of Bahawalpur,855
Istanbul Medeniyet University,856
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,857
University of Jaén,858
Juntendo University,859
Kansas State University,860
Karlstad University,861
Keio University,862
Kerman University of Medical Sciences,863
Kindai University,864
King Faisal University,865
King Khalid University,866
King Mongkut’s University of Technology Thonburi,867
Kingston University,868
KL University,869
Kobe University,870
Kurume University,871
Kuwait University,872
Kyungpook National University,873
University of Lahore,874
Lakehead University,875
University of La Laguna,876
University of Latvia,877
Leeds Beckett University,878
Lithuanian University of Health Sciences,879
University of Ljubljana,880
University of Lleida,881
Lovely Professional University,882
Mae Fah Luang University,883
Mahidol University,884
Makerere University,885
Universiti Malaysia Pahang,886
University of Malta,887
Manipal Academy of Higher Education,888
Marquette University,889
Masaryk University,890
Medical University of Gdańsk,891
University of Memphis,892
University of Minho,893
Mississippi State University,894
University of Missouri-St Louis,895
Montana State University,896
Monterrey Institute of Technology,897
University of Namur,898
Nanjing Forestry University,899
Nanjing University of Information Science and Technology,900
Nanjing Normal University,901
Nanjing Tech University,902
National Institute of Applied Sciences of Lyon (INSA Lyon),903
École Nationale des Travaux Publics de l'État (ENTPE),904
National University of Sciences and Technology,905
National Sun Yat-Sen University,906
National Taiwan Normal University,907
National Technical University of Athens,908
National Institute of Technology Hamirpur,909
"National Institute of Technology, Tiruchirappalli",910
The New School,911
New Mexico State University (Main campus),912
Nippon Medical School,913
University of North Carolina at Greensboro,914
"Northeastern University, China",915
Northeast Normal University,916
University of Northern British Columbia (UNBC),917
Northern Illinois University,918
Ohio University (Main campus),919
Old Dominion University,920
Ozyegin University,921
Pablo de Olavide University,922
University of Palermo,923
Panjab University,924
Panthéon-Sorbonne University – Paris 1,925
Parthenope University of Naples,926
Universiti Pendidikan Sultan Idris,927
University of Peshawar,928
University of the Philippines,929
Universitat Politècnica de Catalunya,930
Polytechnic University of Valencia,931
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),932
Pontifical Catholic University of Rio Grande do Sul (PUCRS),933
Pontifical Javeriana University,934
University of Pretoria,935
Princess Nourah bint Abdulrahman University,936
University of the Punjab,937
University of Rennes 1,938
University of Rhode Island,939
Rhodes University,940
University of Roehampton,941
University of Rome III,942
Roskilde University,943
University of Salamanca,944
University of Salento,945
University of Salford,946
University of Science and Technology Beijing,947
University of La Serena,948
Shahid Beheshti University,949
Shantou University,950
Sheffield Hallam University,951
Shiraz University,952
Shiraz University of Medical Sciences,953
University of Siegen,954
University of South Bohemia in České Budějovice,955
South China Normal University,956
Southern Illinois University Carbondale,957
Suez Canal University,958
Sunway University,959
Symbiosis International University,960
Taibah University,961
Tanta University,962
"University of Technology, Iraq",963
Universiti Tenaga Nasional (UNITEN),964
University of Texas at El Paso,965
Texas Tech University,966
University of Thessaly,967
Toronto Metropolitan University,968
Tribhuvan University,969
University of Urbino Carlo Bo,970
Vilnius University,971
VIT University,972
University of Warsaw,973
Wenzhou Medical University,974
University of Winchester,975
University of Wisconsin-Milwaukee,976
Worcester Polytechnic Institute,977
University of Wyoming,978
Yangzhou University,979
Yeungnam University,980
Zagazig University,981
Zewail City of Science and Technology,982
Zhejiang University of Finance and Economics,983
University of A Coruña,984
